volume,open,high,low,close,caldt
54222023,427.17,427.65,425.89,427.47,2021-06-28 00:00:00-04:00
36655269,427.88,428.56,427.13,427.7,2021-06-29 00:00:00-04:00
66270641,427.21,428.78,427.18,428.06,2021-06-30 00:00:00-04:00
55872224,428.87,430.6,428.8,430.43,2021-07-01 00:00:00-04:00
59750006,431.67,434.1,430.5218,433.72,2021-07-02 00:00:00-04:00
69771668,433.78,434.01,430.01,432.93,2021-07-06 00:00:00-04:00
65615176,433.66,434.76,431.51,434.46,2021-07-07 00:00:00-04:00
99397460,428.78,431.73,427.52,430.92,2021-07-08 00:00:00-04:00
77967324,432.53,435.84,430.714,435.52,2021-07-09 00:00:00-04:00
54302361,435.43,437.35,434.97,437.08,2021-07-12 00:00:00-04:00
53702111,436.24,437.84,435.31,435.59,2021-07-13 00:00:00-04:00
65563370,437.4,437.92,434.91,436.24,2021-07-14 00:00:00-04:00
55879338,434.81,435.53,432.72,434.75,2021-07-15 00:00:00-04:00
77170227,436.01,436.06,430.92,431.34,2021-07-16 00:00:00-04:00
149399960,426.19,431.4089,421.97,424.97,2021-07-19 00:00:00-04:00
100942167,425.68,432.42,424.83,431.06,2021-07-20 00:00:00-04:00
65894328,432.34,434.7,431.0111,434.55,2021-07-21 00:00:00-04:00
48647326,434.74,435.72,433.69,435.46,2021-07-22 00:00:00-04:00
64713928,437.52,440.3,436.79,439.94,2021-07-23 00:00:00-04:00
44352624,439.31,441.03,439.26,441.02,2021-07-26 00:00:00-04:00
68269527,439.91,439.94,435.99,439.01,2021-07-27 00:00:00-04:00
53425144,439.68,440.3,437.31,438.83,2021-07-28 00:00:00-04:00
48198967,439.815,441.8,439.81,440.65,2021-07-29 00:00:00-04:00
70310909,437.91,440.06,437.77,438.51,2021-07-30 00:00:00-04:00
59611884,440.34,440.93,437.21,437.59,2021-08-02 00:00:00-04:00
58824931,438.44,441.28,436.1,441.15,2021-08-03 00:00:00-04:00
47620472,439.78,441.1243,438.73,438.98,2021-08-04 00:00:00-04:00
39730739,440.22,441.85,439.88,441.76,2021-08-05 00:00:00-04:00
47572213,442.1,442.94,441.8,442.49,2021-08-06 00:00:00-04:00
42250781,442.46,442.795,441.31,442.13,2021-08-09 00:00:00-04:00
44951196,442.61,443.44,441.88,442.68,2021-08-10 00:00:00-04:00
45383120,443.82,443.882,442.62,443.78,2021-08-11 00:00:00-04:00
39843341,443.62,445.2572,442.66,445.11,2021-08-12 00:00:00-04:00
40108966,445.59,445.94,445.07,445.92,2021-08-13 00:00:00-04:00
74631097,444.53,447.11,442.87,446.97,2021-08-16 00:00:00-04:00
94352513,444.24,444.96,440.85,444.04,2021-08-17 00:00:00-04:00
91420225,442.96,444.625,438.92,439.18,2021-08-18 00:00:00-04:00
94479651,436.27,441.14,436.12,439.86,2021-08-19 00:00:00-04:00
73189310,440.23,443.71,439.71,443.36,2021-08-20 00:00:00-04:00
55793374,445.16,448.23,443.4355,447.26,2021-08-23 00:00:00-04:00
40179908,447.97,448.54,447.42,447.97,2021-08-24 00:00:00-04:00
41966967,448.17,449.457,447.77,448.91,2021-08-25 00:00:00-04:00
58472550,448.61,448.86,446.16,446.26,2021-08-26 00:00:00-04:00
79706113,447.12,450.65,447.06,450.25,2021-08-27 00:00:00-04:00
49898245,450.97,453.07,450.71,452.23,2021-08-30 00:00:00-04:00
61354794,452.13,452.49,450.92,451.56,2021-08-31 00:00:00-04:00
49472969,452.56,453.11,451.545,451.8,2021-09-01 00:00:00-04:00
43327950,453.32,454.05,451.91,453.19,2021-09-02 00:00:00-04:00
47762540,451.98,453.63,451.55,453.08,2021-09-03 00:00:00-04:00
52416593,452.71,452.81,450.7423,451.46,2021-09-07 00:00:00-04:00
56880064,450.89,451.67,448.86,450.91,2021-09-08 00:00:00-04:00
59078822,450.7,452.57,448.72,448.98,2021-09-09 00:00:00-04:00
91228331,451.04,451.49,445.31,445.44,2021-09-10 00:00:00-04:00
84654367,448.64,448.92,444.11,446.58,2021-09-13 00:00:00-04:00
79354474,448.12,448.34,443.22,444.17,2021-09-14 00:00:00-04:00
79886416,444.62,448.41,443.44,447.88,2021-09-15 00:00:00-04:00
78496993,447.32,448.36,444.02,447.17,2021-09-16 00:00:00-04:00
119686123,444.92,445.37,441.02,441.4,2021-09-17 00:00:00-04:00
168323570,434.88,436.56,428.86,434.04,2021-09-20 00:00:00-04:00
93757751,436.53,437.91,433.07,433.63,2021-09-21 00:00:00-04:00
103757135,436.05,440.03,433.747,437.86,2021-09-22 00:00:00-04:00
77755673,439.85,444.89,439.6,443.18,2021-09-23 00:00:00-04:00
63279879,441.44,444.67,441.21,443.91,2021-09-24 00:00:00-04:00
62530917,442.81,444.05,441.9,442.64,2021-09-27 00:00:00-04:00
132369999,439.69,440.04,432.94,433.72,2021-09-28 00:00:00-04:00
83969724,435.19,437.04,433.85,434.45,2021-09-29 00:00:00-04:00
143598796,436.02,436.77,428.78,429.14,2021-09-30 00:00:00-04:00
131035258,430.98,436.0329,427.23,434.24,2021-10-01 00:00:00-04:00
130626145,433.0,433.96,426.36,428.64,2021-10-04 00:00:00-04:00
92100880,430.24,435.49,429.39,433.1,2021-10-05 00:00:00-04:00
113897035,429.27,435.1199,427.54,434.9,2021-10-06 00:00:00-04:00
73716653,438.39,441.68,438.2,438.66,2021-10-07 00:00:00-04:00
75477568,439.48,439.89,437.19,437.86,2021-10-08 00:00:00-04:00
66278854,437.16,440.26,434.62,434.69,2021-10-11 00:00:00-04:00
71939356,435.67,436.1,432.78,433.62,2021-10-12 00:00:00-04:00
73949659,434.71,436.05,431.54,435.18,2021-10-13 00:00:00-04:00
71905000,439.08,442.66,438.58,442.5,2021-10-14 00:00:00-04:00
67668867,444.75,446.26,444.09,445.87,2021-10-15 00:00:00-04:00
64093511,443.97,447.55,443.27,447.19,2021-10-18 00:00:00-04:00
48371320,448.92,450.71,448.27,450.64,2021-10-19 00:00:00-04:00
50871680,451.13,452.732,451.01,452.41,2021-10-20 00:00:00-04:00
42397570,451.77,453.829,451.31,453.59,2021-10-21 00:00:00-04:00
59430753,453.13,454.67,451.05,453.12,2021-10-22 00:00:00-04:00
46427004,454.28,455.9,452.39,455.55,2021-10-25 00:00:00-04:00
57470445,457.2,458.49,455.56,455.96,2021-10-26 00:00:00-04:00
73588516,456.45,457.16,453.86,453.94,2021-10-27 00:00:00-04:00
52962903,455.46,458.4,455.45,458.32,2021-10-28 00:00:00-04:00
71616663,455.87,459.56,455.56,459.25,2021-10-29 00:00:00-04:00
49942295,460.3,460.7021,458.2,460.04,2021-11-01 00:00:00-04:00
50229956,460.22,462.23,460.08,461.9,2021-11-02 00:00:00-04:00
54199665,461.3,465.15,460.83,464.72,2021-11-03 00:00:00-04:00
53760607,465.36,467.0,464.99,466.91,2021-11-04 00:00:00-04:00
67432045,469.28,470.65,466.92,468.53,2021-11-05 00:00:00-04:00
51269918,469.7,470.23,468.2031,468.93,2021-11-08 00:00:00-05:00
52049013,469.32,469.57,465.88,467.38,2021-11-09 00:00:00-05:00
70491976,465.58,467.38,462.04,463.62,2021-11-10 00:00:00-05:00
36116860,465.21,465.29,463.75,463.77,2021-11-11 00:00:00-05:00
54909239,465.12,467.86,464.11,467.27,2021-11-12 00:00:00-05:00
48365823,468.64,468.81,466.23,467.43,2021-11-15 00:00:00-05:00
50288743,467.15,470.485,467.07,469.28,2021-11-16 00:00:00-05:00
48931843,469.0,469.19,467.48,468.14,2021-11-17 00:00:00-05:00
51864988,469.24,470.01,466.34,469.73,2021-11-18 00:00:00-05:00
58037857,469.61,470.94,468.5,468.89,2021-11-19 00:00:00-05:00
73773729,470.89,473.54,467.35,467.57,2021-11-22 00:00:00-05:00
74152789,467.22,469.095,464.45,468.19,2021-11-23 00:00:00-05:00
63324418,466.06,469.57,465.19,469.44,2021-11-24 00:00:00-05:00
114062469,462.34,463.9,457.77,458.97,2021-11-26 00:00:00-05:00
88266156,464.07,466.56,461.73,464.6,2021-11-29 00:00:00-05:00
151509808,462.0,464.03,455.3,455.56,2021-11-30 00:00:00-05:00
134806870,461.64,464.67,450.29,450.5,2021-12-01 00:00:00-05:00
130439224,450.73,459.07,450.31,457.4,2021-12-02 00:00:00-05:00
138882255,459.17,460.3,448.92,453.42,2021-12-03 00:00:00-05:00
100786239,456.13,460.79,453.56,458.79,2021-12-06 00:00:00-05:00
98181214,464.41,468.88,458.6546,468.28,2021-12-07 00:00:00-05:00
73600326,468.7,470.0,466.83,469.52,2021-12-08 00:00:00-05:00
62433012,468.15,469.6291,466.14,466.35,2021-12-09 00:00:00-05:00
78394925,469.23,470.9,466.51,470.74,2021-12-10 00:00:00-05:00
89029534,470.19,470.56,466.27,466.59,2021-12-13 00:00:00-05:00
98550028,463.09,465.74,460.25,463.36,2021-12-14 00:00:00-05:00
119062600,463.42,470.86,460.74,470.6,2021-12-15 00:00:00-05:00
118519493,472.57,472.87,464.8,466.45,2021-12-16 00:00:00-05:00
137700311,461.55,464.74,458.06,459.87,2021-12-17 00:00:00-05:00
108827152,454.48,455.4,451.14,454.98,2021-12-20 00:00:00-05:00
72205719,458.61,463.21,456.31,463.06,2021-12-21 00:00:00-05:00
60487971,462.79,467.81,462.58,467.69,2021-12-22 00:00:00-05:00
57599846,468.75,472.19,468.64,470.6,2021-12-23 00:00:00-05:00
58274737,472.06,477.31,472.01,477.26,2021-12-27 00:00:00-05:00
48323486,477.72,478.81,476.06,476.87,2021-12-28 00:00:00-05:00
55502324,476.98,478.56,475.92,477.48,2021-12-29 00:00:00-05:00
56438446,477.93,479.0,475.67,476.16,2021-12-30 00:00:00-05:00
67217721,475.64,476.86,474.67,474.96,2021-12-31 00:00:00-05:00
74528525,476.3,477.85,473.85,477.71,2022-01-03 00:00:00-05:00
72231283,479.22,479.98,475.58,477.55,2022-01-04 00:00:00-05:00
104678064,477.16,477.98,468.2801,468.38,2022-01-05 00:00:00-05:00
87839262,467.89,470.82,465.43,467.94,2022-01-06 00:00:00-05:00
86364246,467.95,469.2,464.65,466.09,2022-01-07 00:00:00-05:00
120649890,462.7,465.74,456.5973,465.51,2022-01-10 00:00:00-05:00
75431095,465.23,469.85,462.05,469.73,2022-01-11 00:00:00-05:00
68702010,471.59,473.2,468.94,471.02,2022-01-12 00:00:00-05:00
93589296,472.19,472.88,463.44,464.53,2022-01-13 00:00:00-05:00
97790736,461.19,465.09,459.9,464.72,2022-01-14 00:00:00-05:00
111733633,459.74,459.96,455.31,456.49,2022-01-18 00:00:00-05:00
111279125,458.13,459.6124,451.46,451.75,2022-01-19 00:00:00-05:00
125194304,453.75,458.74,444.5,446.75,2022-01-20 00:00:00-05:00
